dorm_type,room_type,Housing portion,date
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$11,890",2022-05-10
Standard Room Projected Rates,QUAD,"$10,320",2022-05-10
Premium Room Projected Rates (Blackwell),SINGLE,"$16,665",2022-05-22
Premium Room Projected Rates (Blackwell),DOUBLE,"$14,515",2022-05-22
Room in Mini Suite Projected Rates,SINGLE,"$16,665",2022-05-22
Room in Mini Suite Projected Rates,DOUBLE,"$16,380",2022-05-22
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$13,695",2022-05-22
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$13,365",2022-05-22
Room in Suite Projected Rates,SINGLE,"$18,460",2022-05-22
Room in Suite Projected Rates,DOUBLE,"$18,165",2022-05-22
Room in Suite Projected Rates,DOUBLE (in Stern),"$15,050",2022-05-22
Room in Suite Projected Rates,TRIPLE,"$15,760",2022-05-22
Room in Suite Projected Rates,QUAD,"$14,125",2022-05-22
Standard Room Projected Rates,SINGLE,"$16,395",2022-05-22
Standard Room Projected Rates,DOUBLE,"$14,185",2022-05-22
Standard Room Projected Rates,TRIPLE,"$11,550",2022-05-22
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$11,890",2022-05-22
Standard Room Projected Rates,QUAD,"$10,320",2022-05-22
Premium Room Projected Rates (Blackwell),SINGLE,"$16,665",2022-06-25
Premium Room Projected Rates (Blackwell),DOUBLE,"$14,515",2022-06-25
Room in Mini Suite Projected Rates,SINGLE,"$16,665",2022-06-25
Room in Mini Suite Projected Rates,DOUBLE,"$16,380",2022-06-25
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$13,695",2022-06-25
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$13,365",2022-06-25
Room in Suite Projected Rates,SINGLE,"$18,460",2022-06-25
Room in Suite Projected Rates,DOUBLE,"$18,165",2022-06-25
Room in Suite Projected Rates,DOUBLE (in Stern),"$15,050",2022-06-25
Room in Suite Projected Rates,TRIPLE,"$15,760",2022-06-25
Room in Suite Projected Rates,QUAD,"$14,125",2022-06-25
Standard Room Projected Rates,SINGLE,"$16,395",2022-06-25
Standard Room Projected Rates,DOUBLE,"$14,185",2022-06-25
Standard Room Projected Rates,TRIPLE,"$11,550",2022-06-25
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$11,890",2022-06-25
Standard Room Projected Rates,QUAD,"$10,320",2022-06-25
Premium Room Projected Rates (Blackwell),SINGLE,"$16,665",2022-07-21
Premium Room Projected Rates (Blackwell),DOUBLE,"$14,515",2022-07-21
Room in Mini Suite Projected Rates,SINGLE,"$16,665",2022-07-21
Room in Mini Suite Projected Rates,DOUBLE,"$16,380",2022-07-21
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$13,695",2022-07-21
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$13,365",2022-07-21
Room in Suite Projected Rates,SINGLE,"$18,460",2022-07-21
Room in Suite Projected Rates,DOUBLE,"$18,165",2022-07-21
Room in Suite Projected Rates,DOUBLE (in Stern),"$15,050",2022-07-21
Room in Suite Projected Rates,TRIPLE,"$15,760",2022-07-21
Room in Suite Projected Rates,QUAD,"$14,125",2022-07-21
Standard Room Projected Rates,SINGLE,"$16,395",2022-07-21
Standard Room Projected Rates,DOUBLE,"$14,185",2022-07-21
Standard Room Projected Rates,TRIPLE,"$11,550",2022-07-21
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$11,890",2022-07-21
Standard Room Projected Rates,QUAD,"$10,320",2022-07-21
Premium Room Projected Rates (Blackwell),SINGLE,"$16,665",2022-10-03
Premium Room Projected Rates (Blackwell),DOUBLE,"$14,515",2022-10-03
Room in Mini Suite Projected Rates,SINGLE,"$16,665",2022-10-03
