price,type,bathrooms,size,address,date
"$2,995/mo",2bds,1ba,800sqft,"2505 Virginia St APT 10, Berkeley, CA 94709",2021-12-02
"$3,051Studio","$3,839+1 bd","$5,308+2 bds",,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2021-12-02
"$1,750/mo",Studio,1ba,400sqft,"2428 Bancroft Way #2, Berkeley, CA 94704",2021-12-02
"$2,751+1 bd","$3,880+2 bds",,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2021-12-02
"$2,500/mo",2bds,1ba,700sqft,"1316 Burnett St #1, Berkeley, CA 94702",2021-12-02
"$3,651+1 bd","$4,240+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2021-12-02
"$2,250/mo",2bds,1ba,738sqft,"3102 California St UNIT 3, Berkeley, CA 94703",2021-12-02
"$1,100+2 bds",,,,"2436 8th St, Berkeley, CA",2021-12-02
"$2,999+Studio","$3,200+1 bd","$3,475+2 bds",,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2021-12-02
"$2,555+1 bd","$3,8952 bds",,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2021-12-02
"$2,400/mo",2bds,1ba,700sqft,"1726 10th St #2, Berkeley, CA 94710",2021-12-02
"$3,295/mo",2bds,1ba,--sqft,"2414 Telegraph Ave APT 404, Berkeley, CA 94704",2021-12-02
"$2,696Studio","$3,5592 bds","$4,9203 bds",,"1122U | 1122 University Ave, Berkeley, CA",2021-12-02
"$1,795+1 bd",,,,"1896 Alcatraz Ave. | 1896 Alcatraz Ave, Berkeley, CA",2021-12-02
"$3,850/mo",2bds,2ba,--sqft,"1708 Milvia St APT 1, Berkeley, CA 94709",2021-12-02
"$3,400/mo",2bds,1ba,930sqft,"1228 Evelyn Ave, Albany, CA 94706",2021-12-02
"$5,250/mo",4bds,2ba,--sqft,"1913 Berkeley Way #A, Berkeley, CA 94704",2021-12-02
"$1,995/mo",Studio,1ba,--sqft,"1321 Spruce St APT 9, Berkeley, CA 94709",2021-12-02
"$2,095/mo",1bd,1ba,700sqft,"2515 Dana St APT 7, Berkeley, CA 94704",2021-12-02
"$4,485/mo",4bds,3ba,"1,400sqft","3411T Adeline St #3, Berkeley, CA 94703",2021-12-02
"$3,875/mo",3bds,2ba,"1,000sqft","3411 S Adeline St #4, Berkeley, CA 94703",2021-12-02
"$2,731+Studio","$4,3552 bds",,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2021-12-02
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-12-02
"$3,195/mo",2bds,1ba,723sqft,"1832 Walnut St, Berkeley, CA 94709",2021-12-02
"$3,905+1 bd",,,,"The Addison | 1950 Addison St, Berkeley, CA",2021-12-02
"$2,980+Studio","$3,320+1 bd","$4,525+2 bds",,"Blake at Berkeley | 2033 Blake St, Berkeley, CA",2021-12-02
"$1,995+1 bd",,,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-12-02
"$2,683Studio","$4,380+2 bds",,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2021-12-02
"$2,200/mo",Studio,1ba,534sqft,"2908 Hillegass Ave #C, Berkeley, CA 94705",2021-12-02
"$2,400/mo",2bds,1ba,--sqft,"2950 Stanton St APT A, Berkeley, CA 94702",2021-12-02
"$1,900+/mo",1bd,1ba,600sqft,"1945 Berkeley Way #A1RZNF1K7, Berkeley, CA 94704",2021-12-02
"$3,000/mo",2bds,1ba,713sqft,"2300 Browning St, Berkeley, CA 94702",2021-12-02
"$1,860/mo",1bd,1ba,460sqft,"1510 Bonita Ave APT E, Berkeley, CA 94709",2021-12-02
"$3,250/mo",2bds,1.5ba,"1,000sqft","2807 Shattuck Ave #3, Berkeley, CA 94705",2021-12-02
"$2,100/mo",1bd,1ba,519sqft,"2043 Emerson St UNIT A, Berkeley, CA 94703",2021-12-02
"$2,695/mo",1bd,1ba,550sqft,"(undisclosed Address), Berkeley, CA 94703",2021-12-02
"$2,550/mo",2bds,1ba,--sqft,"1430 Josephine St #R2, Berkeley, CA 94703",2021-12-02
"$2,400/mo",2bds,1ba,750sqft,"1813 63rd St APT A, Berkeley, CA 94703",2021-12-02
"$2,195/mo",2bds,1ba,--sqft,"1531 Alcatraz Ave #9, Berkeley, CA 94703",2021-12-02
"$3,700/mo",3bds,1ba,"1,573sqft","2761 Park St, Berkeley, CA 94702",2021-12-02
