price,type,bathrooms,size,address,date
"$2,840+2 bds",,,,"Telegraph Gardens | 3001 Telegraph Ave, Berkeley, CA",2021-10-13
"$4,100/mo",3bds,2.5ba,"1,616sqft","1336 Henry St, Berkeley, CA 94709",2021-10-13
"$1,175/mo",Studio,1ba,--sqft,"1741 Martin Luther King Jr Way #6B, Berkeley, CA 94709",2021-10-13
"$2,450/mo",1bd,2ba,"1,000sqft","1612 Edith St, Berkeley, CA 94703",2021-10-13
"$1,950+/mo",1bd,1ba,600sqft,"1945 Berkeley Way #A1RZNF1K7, Berkeley, CA 94704",2021-10-13
"$2,850/mo",2bds,1ba,"1,000sqft","2400 Martin Luther King Jr Way #2400, Berkeley, CA 94704",2021-10-13
"$1,995+1 bd",,,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-10-13
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-10-13
"$2,100/mo",1bd,1ba,--sqft,"1829 Virginia St, Berkeley, CA 94703",2021-10-13
"$2,875/mo",2bds,1ba,850sqft,"2716 Webster St APT 3, Berkeley, CA 94705",2021-10-13
"$3,050/mo",2bds,2ba,--sqft,"3055 Dana St #3, Berkeley, CA 94705",2021-10-13
"$2,300/mo",2bds,1ba,"1,220sqft","2706 McGee Ave, Berkeley, CA 94703",2021-10-13
"$2,200/mo",2bds,1ba,--sqft,"1735 Berkeley Way #1, Berkeley, CA 94703",2021-10-13
"$2,857Studio","$5,032+2 bds",,,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2021-10-13
"$3,910/mo",1bd,1ba,742sqft,"1950 Addison St #601, Berkeley, CA 94704",2021-10-13
"$2,758Studio","$4,4482 bds",,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2021-10-13
"$3,043+1 bd","$3,635+2 bds",,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2021-10-13
"$2,381+Studio","$2,535+1 bd",,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2021-10-13
"$4,481+2 bds",,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2021-10-13
"$3,311+Studio","$3,647+1 bd","$3,975+2 bds","$6,5943 bds","Modera Berkeley | 2119 University Ave, Berkeley, CA",2021-10-13
"$3,5592 bds","$4,9203 bds",,,"1122U | 1122 University Ave, Berkeley, CA",2021-10-13
"$2,400+1 bd","$2,800+2 bds",,,"The Delaware | 1080 Delaware St, Berkeley, CA",2021-10-13
"$2,450/mo",2bds,1ba,800sqft,"1234 Ashby Ave, Berkeley, CA 94702",2021-10-13
"$2,300/mo",2bds,1ba,700sqft,"2320 Bonar St UNIT A, Berkeley, CA 94702",2021-10-13
"$3,674+1 bd","$6,376+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2021-10-13
"$2,980+Studio","$3,220+1 bd","$4,525+2 bds",,"Blake at Berkeley | 2033 Blake St, Berkeley, CA",2021-10-13
"$3,150/mo",2bds,1ba,"1,200sqft","1635 Kains Ave UNIT B, Berkeley, CA 94702",2021-10-13
"$3,400/mo",2bds,1ba,968sqft,"2119 Ashby Ave, Berkeley, CA 94705",2021-10-13
"$2,495/mo",1bd,1ba,796sqft,"2712 Derby St APT 6, Berkeley, CA 94705",2021-10-13
"$1,900/mo",1bd,1ba,580sqft,"1535 Julia St APT D, Berkeley, CA 94703",2021-10-13
"$2,750/mo",2bds,1ba,811sqft,"1219 Santa Fe Ave, Berkeley, CA 94706",2021-10-13
"$3,500/mo",3bds,2ba,"1,150sqft","931 Bancroft Way #2, Berkeley, CA 94710",2021-10-13
"$2,495/mo",2bds,1ba,750sqft,"984 Addison St, Berkeley, CA 94710",2021-10-13
"$2,000/mo",1bd,1ba,625sqft,"2918 Stanton St, Berkeley, CA 94702",2021-10-13
"$2,200+1 bd",,,,"2627 Fulton St. | 2627 Fulton St, Berkeley, CA",2021-10-13
"$2,500/mo",2bds,1ba,750sqft,"1600 Stuart St, Berkeley, CA 94703",2021-10-13
"$2,695/mo",2bds,2ba,720sqft,"2335 Russell St, Berkeley, CA 94705",2021-10-13
"$1,700/mo",1bd,1ba,--sqft,"1341 University Ave #1341, Berkeley, CA 94702",2021-10-13
"$1,950/mo",Studio,1ba,500sqft,"1206 Oregon St #B, Berkeley, CA 94702",2021-10-13
"$2,595/mo",2bds,1ba,825sqft,"2316 Ward St APT 1, Berkeley, CA 94705",2021-10-13
