price,type,bathrooms,size,address,date
"$2,200/mo",1bd,1ba,600sqft,"749 Contra Costa Ave, Berkeley, CA 94707",2021-10-27
"$1,995+1 bd",,,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-10-27
"$5,308+2 bds",,,,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2021-10-27
"$2,775/mo",Studio,1ba,438sqft,"2335 California St #A, Berkeley, CA 94703",2021-10-27
"$3,150/mo",1bd,1ba,944sqft,"40 Hill Rd #MID, Berkeley, CA 94708",2021-10-27
"$3,355+2 bds","$5,6653 bds",,,"Hillside Village | 1801 Shattuck Ave, Berkeley, CA",2021-10-27
"$2,750/mo",2bds,1ba,--sqft,"1619 Walnut St #F, Berkeley, CA 94709",2021-10-27
"$1,950+/mo",1bd,1ba,600sqft,"1945 Berkeley Way #A1RZNF1K7, Berkeley, CA 94704",2021-10-27
"$3,8753 bds","$4,4854 bds",,,"3411G Adeline St, Berkeley, CA",2021-10-27
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-10-27
"$3,200/mo",1bd,1ba,950sqft,"2410 Russell St APT B, Berkeley, CA 94705",2021-10-27
"$3,910/mo",1bd,1ba,742sqft,"1950 Addison St #601, Berkeley, CA 94704",2021-10-27
"$1,850/mo",Studio,1ba,490sqft,"1810 Euclid Ave #4, Berkeley, CA 94709",2021-10-27
"$3,015+1 bd",,,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2021-10-27
"$3,5592 bds","$4,9203 bds",,,"1122U | 1122 University Ave, Berkeley, CA",2021-10-27
"$2,758+Studio","$3,3361 bd","$4,4482 bds",,"The Dwight | 2121 Dwight Way, Berkeley, CA",2021-10-27
"$2,150+Studio","$2,468+1 bd",,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2021-10-27
"$3,311+Studio","$3,647+1 bd","$3,975+2 bds",,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2021-10-27
"$4,481+2 bds",,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2021-10-27
"$3,887+1 bd","$6,116+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2021-10-27
"$2,980+Studio","$3,320+1 bd","$4,525+2 bds",,"Blake at Berkeley | 2033 Blake St, Berkeley, CA",2021-10-27
"$2,350/mo",1bd,1ba,590sqft,"2341 California St, Berkeley, CA 94703",2021-10-27
"$1,750/mo",Studio,1ba,400sqft,"2424 10th St, Berkeley, CA 94710",2021-10-27
"$2,700/mo",2bds,1ba,798sqft,"2327 10th St APT 4, Berkeley, CA 94710",2021-10-27
"$2,500/mo",2bds,1ba,750sqft,"1600 Stuart St, Berkeley, CA 94703",2021-10-27
"$3,000/mo",1bd,1ba,700sqft,"12 Cragmont Ave, Berkeley, CA 94708",2021-10-27
"$3,800/mo",2bds,2ba,"1,100sqft","2830 Webster St, Berkeley, CA 94705",2021-10-27
"$2,550/mo",1bd,1.5ba,"1,050sqft","2700 San Pablo Ave APT 103, Berkeley, CA 94702",2021-10-27
"$3,150/mo",2bds,1ba,900sqft,"2925 Wheeler St #5, Berkeley, CA 94705",2021-10-27
"$3,150/mo",2bds,1ba,900sqft,"2925 Wheeler St APT 4, Berkeley, CA 94705",2021-10-27
"$2,795/mo",2bds,1ba,539sqft,"2750 Dwight Way #14, Berkeley, CA 94704",2021-10-27
"$2,795/mo",2bds,1ba,730sqft,"2501 Benvenue Ave APT 26, Berkeley, CA 94704",2021-10-27
"$1,995+1 bd",,,,"The Riviera - 4 | 2501 Benvenue Ave, Berkeley, CA",2021-10-27
"$2,890/mo",1bd,1ba,700sqft,"1139 Virginia St, Berkeley, CA 94702",2021-10-27
"$2,350/mo",2bds,1ba,--sqft,"1728 7th St APT G, Berkeley, CA 94710",2021-10-27
"$4,500/mo",2bds,1ba,"1,160sqft","2952 College Ave APT 2, Berkeley, CA 94705",2021-10-27
"$2,650/mo",2bds,1ba,720sqft,"2124 9th St, Berkeley, CA 94710",2021-10-27
"$2,995/mo",2bds,2ba,800sqft,"1313 Haskell St, Berkeley, CA 94702",2021-10-27
"$2,650/mo",2bds,1ba,900sqft,"1911 Berkeley Way APT A, Berkeley, CA 94704",2021-10-27
"$2,490/mo",2bds,1ba,699sqft,"2736 Grant St #4, Berkeley, CA 94703",2021-10-27
