price,type,bathrooms,size,address,date
"$1,950/mo",Studio,1ba,--sqft,"2491 Ellsworth St #63, Berkeley, CA 94704",2021-05-05
"$2,000/mo",1bd,1ba,--sqft,"1418 Addison St #1/2, Berkeley, CA 94702",2021-05-05
"$4,195/mo",3bds,1ba,"1,100sqft","1618 Blake St APT B, Berkeley, CA 94703",2021-05-05
"$2,700/mo",2bds,1ba,900sqft,"1911 Berkeley Way, Berkeley, CA 94704",2021-05-05
"$3,499/mo",2bds,1ba,900sqft,"1525 Arch St APT 7, Berkeley, CA 94708",2021-05-05
"$2,300/mo",2bds,1ba,700sqft,"929 Delaware St #1735, Berkeley, CA 94710",2021-05-05
"$2,3951 bd","$3,3952 bds",,,"2355 Hilgard Ave, Berkeley, CA",2021-05-05
"$7,146/mo",2bds,2ba,"1,598sqft","2055 Center St APT 904, Berkeley, CA 94704",2021-05-05
"$2,448+1 bd","$3,6792 bds",,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2021-05-05
"$1,995+1 bd","$2,8952 bds",,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-05-05
"$1,945/mo",1bd,1ba,720sqft,"1802 10th St, Berkeley, CA 94710",2021-05-05
"$1,945/mo",1bd,1ba,730sqft,"1810 10th St, Berkeley, CA 94710",2021-05-05
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-05-05
"$2,395Studio","$2,9951 bd","$4,395+2 bds","$5,495+3 bds","The Granada | 2510 Bancroft Way, Berkeley, CA",2021-05-05
"$3,402+1 bd","$3,940+2 bds",,,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2021-05-05
"$1,825/mo",Studio,1ba,--sqft,"3109 California St, Berkeley, CA 94703",2021-05-05
"$1,850/mo",1bd,1ba,550sqft,"1621 Blake St R 11, Berkeley, CA 94703",2021-05-05
"$1,9501 bd","$3,1952 bds",,,"2750 Dwight Way | 2750 Dwight Way, Berkeley, CA",2021-05-05
"$1,995/mo",Studio,1ba,--sqft,"1717 Oxford St APT 306, Berkeley, CA 94709",2021-05-05
"$1,850+1 bd",,,,"1898 Alcatraz Ave, Berkeley, CA",2021-05-05
"$1,700+Studio",,,,"2511 Hearst Avenue | 2511 Hearst Ave, Berkeley, CA",2021-05-05
"$1,700+/mo",1bd,1ba,600sqft,"1945 Berkeley Way #SA4G031R7, Berkeley, CA 94704",2021-05-05
"$2,495/mo",2bds,1ba,750sqft,"2450 Milvia St #22, Berkeley, CA 94704",2021-05-05
"$2,000/mo",Studio,1ba,550sqft,"2445 Derby St #3, Berkeley, CA 94705",2021-05-05
"$2,000+Studio",,,,"2427 McKinley Ave. | 2427 Mckinley Ave, Berkeley, CA",2021-05-05
"$2,750/mo",2bds,1ba,580sqft,"2232 Channing Way APT 5, Berkeley, CA 94704",2021-05-05
"$2,767+Studio","$2,833+1 bd","$3,870+2 bds",,"The Dwight | 2121 Dwight Way, Berkeley, CA",2021-05-05
"$2,130+1 bd","$3,150+2 bds",,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2021-05-05
"$1,895+Studio",,,,"3040 Telegraph Ave, Berkeley, CA",2021-05-05
"$2,400+1 bd","$2,800+2 bds",,,"The Delaware | 1080 Delaware St, Berkeley, CA",2021-05-05
"$2,595/mo",1bd,1ba,--sqft,"2303 8th St, Berkeley, CA 94710",2021-05-05
"$2,200Studio","$4,4502 bds",,,"1815 Spruce St, Berkeley, CA",2021-05-05
"$2,195+Studio","$2,495+1 bd","$3,495+2 bds",,"Addison Arts Apartments | 1935 Addison St, Berkeley, CA",2021-05-05
"$2,596+Studio","$3,559+2 bds","$4,676+3 bds","$7,1355 bds","1122U | 1122 University Ave, Berkeley, CA",2021-05-05
"$1,850+1 bd","$2,995+2 bds",,,"2521 Regent St, Berkeley, CA",2021-05-05
"$2,500+1 bd","$5,5003 bds",,,"2340 Hilgard Ave | 2340 Hilgard Ave, Berkeley, CA",2021-05-05
"$2,995/mo",2bds,1ba,606sqft,"2521 Regent St UNIT 10, Berkeley, CA 94704",2021-05-05
"$1,595+Studio","$3,4002 bds",,,"2421 Durant Ave, Berkeley, CA",2021-05-05
"$2,700+1 bd","$3,600+2 bds",,,"New Californian | 1988 Martin Luther King Jr Way, Berkeley, CA",2021-05-05
"$1,600/mo",Studio,1ba,350sqft,"2657 Sacramento St, Berkeley, CA 94702",2021-05-05
