price,type,bathrooms,size,address,date
"$2,150/mo",Studio,1ba,450sqft,"1898 Harmon St, Berkeley, CA 94703",2020-01-05
"$2,950/mo",2bds,1ba,729sqft,"2110 Spaulding Ave APT C, Berkeley, CA 94703",2020-01-05
"$2,000/mo",1bd,1ba,560sqft,"Alcatraz Ave, Berkeley, CA 94703",2020-01-05
"$2,799/mo",2bds,1ba,"1,000sqft","Curtis St, Berkeley, CA 94702",2020-01-05
"$1,650/mo",1bd,1ba,--sqft,"2212 San Pablo Ave APT 5, Berkeley, CA 94702",2020-01-05
"$2,195/mo",1bd,1ba,650sqft,"1420 Neilson St # A, Berkeley, CA 94702",2020-01-05
"$1,950/mo",Studio,1ba,--sqft,"1910 Virginia St # A, Berkeley, CA 94709",2020-01-05
"$2,200/mo",Studio,1ba,--sqft,"1820 Euclid Ave APT 9, Berkeley, CA 94709",2020-01-05
"$2,500/mo",1bd,1ba,--sqft,"1397 Curtis St, Berkeley, CA 94702",2020-01-05
"$2,195/mo",Studio,1ba,--sqft,"1525 Spruce St APT 27, Berkeley, CA 94709",2020-01-05
"$1,595/mo",Studio,1ba,--sqft,"2450 Milvia St APT 14, Berkeley, CA 94704",2020-01-05
"$3,495/mo",2bds,1ba,--sqft,"2515 Benvenue Ave APT 205, Berkeley, CA 94704",2020-01-05
"$1,650/mo",Studio,1ba,480sqft,"2010 10th St APT A, Berkeley, CA 94710",2020-01-05
"$2,600/mo",2bds,1ba,700sqft,"1811 Addison St APT C, Berkeley, CA 94703",2020-01-05
"$1,950/mo",1bd,1ba,--sqft,"2108 Stuart St APT 7, Berkeley, CA 94705",2020-01-05
"$2,350/mo",2bds,1ba,--sqft,"1635 Julia St APT 9, Berkeley, CA 94703",2020-01-05
"$3,250/mo",1bd,1ba,675sqft,"2343 Howe St, Berkeley, CA 94705",2020-01-05
"$3,750/mo",2bds,2ba,--sqft,"2341 Howe St, Berkeley, CA 94705",2020-01-05
"$1,780/mo",Studio,1ba,350sqft,"Haste St, Berkeley, CA 94704",2020-01-05
"$3,800/mo",1bd,1ba,850sqft,"2547 Piedmont Ave, Berkeley, CA 94704",2020-01-05
"$2,650/mo",1bd,1ba,500sqft,"2314 10th St, Berkeley, CA 94710",2020-01-05
"$1,988/mo",1bd,1ba,504sqft,"1403 Carleton St APT B, Berkeley, CA 94702",2020-01-05
"$1,900/mo",1bd,1ba,--sqft,"1721 Dwight Way, Berkeley, CA 94703",2020-01-05
"$1,995/mo",1bd,1ba,800sqft,"1757 Oxford St APT 9, Berkeley, CA 94709",2020-01-05
"$2,462/mo",2bds,1ba,780sqft,"1316 Burnett St APT 10, Berkeley, CA 94702",2020-01-05
"$2,100/mo",1bd,1ba,--sqft,"1955 Chestnut St APT 201, Berkeley, CA 94702",2020-01-05
"$5,800/mo",4bds,1ba,"1,450sqft","2340 Carleton St, Berkeley, CA 94704",2020-01-05
"$1,800/mo",1bd,1ba,--sqft,"2206 Dwight Way APT 4, Berkeley, CA 94704",2020-01-05
"$2,095/mo",1bd,1ba,750sqft,"1741 Parker St # TWO, Berkeley, CA 94703",2020-01-05
"$3,995/mo",3bds,1ba,--sqft,"3322 Cedar St, Berkeley, CA 94709",2020-01-05
"$2,495/mo",1bd,1ba,--sqft,"1725 Oxford St APT 203, Berkeley, CA 94709",2020-01-05
"$3,800/mo",2bds,1ba,"1,100sqft","2473 Prince St # B, Berkeley, CA 94705",2020-01-05
"$2,200/mo",1bd,1ba,825sqft,"2322 Haste St, Berkeley, CA 94704",2020-01-05
