price,type,bathrooms,size,address,date
"$3,559+2 bds","$4,8763 bds",,,"1122U | 1122 University Ave, Berkeley, CA",2021-07-16
"$2,900/mo",2bds,1ba,--sqft,"2814 College Ave APT 3, Berkeley, CA 94705",2021-07-16
"$2,495/mo",Studio,1ba,465sqft,"1825 Spruce St, Berkeley, CA 94709",2021-07-16
"$1,850+1 bd",,,,"M B Apartments | 1945 Berkeley Way, Berkeley, CA",2021-07-16
"$1,769Studio","$3,7492 bds",,,"2533 Hillegass Ave, Berkeley, CA",2021-07-16
"$2,600/mo",2bds,1ba,650sqft,"3130 College Ave APT D, Berkeley, CA 94705",2021-07-16
$959+Studio,"$1,831+1 bd","$2,040+2 bds",,"Allston + Stadium Student Housing | 2310 Fulton St, Berkeley, CA",2021-07-16
"$2,500/mo",1bd,1ba,500sqft,"2918 Harper St APT B, Berkeley, CA 94703",2021-07-16
"$2,695/mo",1bd,1ba,750sqft,"2415 Hilgard Ave #2415, Berkeley, CA 94709",2021-07-16
"$3,350/mo",2bds,1ba,750sqft,"1934 Cedar St, Berkeley, CA 94709",2021-07-16
"$1,700/mo",Studio,1ba,300sqft,"2629 Piedmont Ave #F, Berkeley, CA 94704",2021-07-16
"$2,462+2 bds",,,,"929 Delaware St, Berkeley, CA",2021-07-16
"$2,600/mo",1bd,1ba,450sqft,"22 Parnassus Rd, Berkeley, CA 94708",2021-07-16
"$2,898Studio","$3,026+1 bd","$4,338+2 bds",,"The Dwight | 2121 Dwight Way, Berkeley, CA",2021-07-16
"$1,800+Studio","$2,3001 bd",,,"1820 Euclid Avenue | 1820 Euclid Ave, Berkeley, CA",2021-07-16
"$1,995/mo",1bd,1ba,425sqft,"2450 Milvia St #10, Berkeley, CA 94704",2021-07-16
"$4,250/mo",2bds,1ba,750sqft,"(undisclosed Address), Albany, CA 94706",2021-07-16
"$2,195+Studio","$3,495+2 bds",,,"The Granada | 2510 Bancroft Way, Berkeley, CA",2021-07-16
"$11,500/mo",7bds,3ba,"2,025sqft","2083 Delaware St, Berkeley, CA 94709",2021-07-16
"$1,790/mo",Studio,1ba,--sqft,"2667 Derby St #2, Berkeley, CA 94705",2021-07-16
"$3,550/mo",2bds,1ba,900sqft,"1830 Walnut St, Berkeley, CA 94709",2021-07-16
"$2,250/mo",1bd,1ba,600sqft,"1626 Dwight Way APT M, Berkeley, CA 94703",2021-07-16
"$3,000/mo",1bd,1ba,600sqft,"2500 Dana St #4, Berkeley, CA 94704",2021-07-16
"$2,948+1 bd",,,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2021-07-16
"$2,675+1 bd",,,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2021-07-16
"$4,495+/mo",2bds,1ba,--sqft,"2520 College Ave #19GHGA13X, Berkeley, CA 94704",2021-07-16
"$2,750/mo",2bds,1ba,975sqft,"1109 Parker St #1, Berkeley, CA 94702",2021-07-16
"$2,475+2 bds",,,,"1474 7th St, Berkeley, CA",2021-07-16
"$2,400/mo",2bds,1ba,605sqft,"1180 University Ave APT 3, Berkeley, CA 94702",2021-07-16
"$2,700/mo",1bd,1ba,590sqft,"(undisclosed Address), Berkeley, CA 94708",2021-07-16
"$2,000/mo",1bd,1ba,600sqft,"1826 Alcatraz Ave #2, Berkeley, CA 94703",2021-07-16
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-07-16
"$2,200/mo",1bd,1ba,475sqft,"1535 Julia St APT D, Berkeley, CA 94703",2021-07-16
"$2,250+/mo",1bd,1ba,620sqft,"2636 Warring St #KHXPZS91U, Berkeley, CA 94704",2021-07-16
"$2,400+1 bd","$2,800+2 bds",,,"The Delaware | 1080 Delaware St, Berkeley, CA",2021-07-16
"$2,295Studio","$2,595+1 bd",,,"The Cambridge | 2500 Durant Ave, Berkeley, CA",2021-07-16
"$1,995+1 bd","$2,8952 bds",,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-07-16
"$2,850/mo",2bds,1ba,700sqft,"1590 Oregon St APT 12, Berkeley, CA 94703",2021-07-16
"$4,095/mo",2bds,1ba,763sqft,"1771 Highland Pl APT 303, Berkeley, CA 94709",2021-07-16
"$2,200/mo",Studio,1ba,400sqft,"1720 Spruce St, Berkeley, CA 94709",2021-07-16
