price,type,bathrooms,size,address,date
"$1,550/mo",Studio,1ba,"1,974sqft","1894 9th St, Berkeley, CA 94710",2021-07-14
"$2,695/mo",2bds,1ba,--sqft,"2539 Durant Ave #16, Berkeley, CA 94704",2021-07-14
"$2,300/mo",Studio,1ba,--sqft,"1525 Spruce St #33, Berkeley, CA 94709",2021-07-14
"$4,500/mo",4bds,1ba,"1,300sqft","1230 Burnett St #A, Berkeley, CA 94702",2021-07-14
"$6,400/mo",5bds,3ba,"1,500sqft","2185 Dwight Way #4, Berkeley, CA 94704",2021-07-14
"$2,100/mo",1bd,1ba,617sqft,"1329 Rose St, Berkeley, CA 94702",2021-07-14
"$2,395/mo",1bd,1ba,600sqft,"1711 Blake St #1B, Berkeley, CA 94703",2021-07-14
"$4,495+/mo",2bds,1ba,--sqft,"2520 College Ave #19GHGA13X, Berkeley, CA 94704",2021-07-14
"$2,948+/mo",1bd,1ba,741sqft,"651 Addison St #F6TWKT85T, Berkeley, CA 94710",2021-07-14
"$1,850+1 bd",,,,"M B Apartments | 1945 Berkeley Way, Berkeley, CA",2021-07-14
"$2,250+2 bds",,,,"2016 Blake Street | 2016 Blake St, Berkeley, CA",2021-07-14
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-07-14
"$2,295Studio","$2,595+1 bd",,,"The Cambridge | 2500 Durant Ave, Berkeley, CA",2021-07-14
"$2,400+1 bd","$2,800+2 bds",,,"The Delaware | 1080 Delaware St, Berkeley, CA",2021-07-14
"$1,995+1 bd","$2,8952 bds",,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-07-14
"$2,045/mo",1bd,1ba,582sqft,"1509 Hearst Ave #104, Berkeley, CA 94703",2021-07-14
"$4,095/mo",2bds,1ba,763sqft,"1771 Highland Pl APT 303, Berkeley, CA 94709",2021-07-14
"$1,595/mo",Studio,1ba,--sqft,"1802 Bonita Ave #5, Berkeley, CA 94709",2021-07-14
"$1,795/mo",2bds,1ba,--sqft,"1930 Channing Way #1A, Berkeley, CA 94704",2021-07-14
"$2,862Studio","$4,411+2 bds",,,"Hillside Village | 1801 Shattuck Ave, Berkeley, CA",2021-07-14
"$2,195/mo",1bd,1ba,--sqft,"1930 Channing Way APT 1F, Berkeley, CA 94704",2021-07-14
"$3,7512 bds","$4,8763 bds",,,"1122U | 1122 University Ave, Berkeley, CA",2021-07-14
"$2,800+2 bds",,,,"2732 Haste St, Berkeley, CA",2021-07-14
"$2,800/mo",2bds,1ba,--sqft,"2747 Haste St #24, Berkeley, CA 94704",2021-07-14
"$2,540+Studio","$2,685+1 bd","$4,470+2 bds",,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2021-07-14
"$2,195+1 bd","$2,995+2 bds",,,"The Parc at 1300 | 1300 Delaware St, Berkeley, CA",2021-07-14
"$2,195+Studio","$2,495+1 bd","$3,495+2 bds",,"Addison Arts Apartments | 1935 Addison St, Berkeley, CA",2021-07-14
"$2,901/mo",1bd,1ba,724sqft,"2010 5th St #374, Berkeley, CA 94710",2021-07-14
"$3,641/mo",Studio,1ba,371sqft,"2119 University Ave #D-504, Berkeley, CA 94704",2021-07-14
"$2,700+1 bd","$3,600+2 bds",,,"New Californian | 1988 Martin Luther King Jr Way, Berkeley, CA",2021-07-14
"$3,000+2 bds",,,,"2329 Channing Way | 2329 Channing Way, Berkeley, CA",2021-07-14
"$2,495/mo",2bds,1ba,840sqft,"2331 Dwight Way, Berkeley, CA 94704",2021-07-14
"$3,495/mo",3bds,1ba,961sqft,"1649 Martin Luther King Jr Way STE 1, Berkeley, CA 94709",2021-07-14
$959+Studio,"$1,831+1 bd","$2,040+2 bds",,"Allston + Stadium Student Housing | 2310 Fulton St, Berkeley, CA",2021-07-14
"$3,400+2 bds",,,,"1809 Blake St, Berkeley, CA",2021-07-14
"$3,950/mo",2bds,1ba,850sqft,"1850 Arch St APT 3, Berkeley, CA 94709",2021-07-14
"$2,100/mo",1bd,1ba,460sqft,"2024 University Ave STE 6, Berkeley, CA 94704",2021-07-14
"$2,000+1 bd","$2,650+2 bds",,,"2536 College Ave | 2536 College Ave, Berkeley, CA",2021-07-14
"$2,450/mo",1bd,1ba,638sqft,"1524 Grant St, Berkeley, CA 94703",2021-07-14
"$1,800Studio","$1,97512 bds",,,"1799 Euclid Ave, Berkeley, CA",2021-07-14
