price,type,bathrooms,size,address,date
"$3,168+",Studio,,,"The Addison | 1950 Addison St, Berkeley, CA",2023-02-12
"$4,995+",2 bds,,,"2520 College St. | 2520 College Ave, Berkeley, CA",2023-02-12
"$2,984+",Studio,,,"Modera Berkeley | 1922 Walnut St, Berkeley, CA",2023-02-12
"$3,395+",1 bd,,,"URSA Berkeley | 2124 Bancroft Way, Berkeley, CA",2023-02-12
"$1,971+",Studio,,,"Common Bosco | 1717 University Ave, Berkeley, CA",2023-02-12
"$3,495+",2 bds,,,"Telegraph Gardens | 3001 Telegraph Ave, Berkeley, CA",2023-02-12
"$2,095/mo",,,,"Berkeley Apts, 2435 Grant St APT 5, Berkeley, CA 94703",2023-02-12
"$3,553+",1 bd,,,"Berkeley Central | 2055 Center St, Berkeley, CA",2023-02-12
"$1,995+",Studio,,,"Berkeley Park Apartments | 2025 Durant Ave, Berkeley, CA",2023-02-12
