price,type,bathrooms,size,address,date
"$2,095+1 bd","$2,995+2 bds",,,"Shattuck Apartments | 2300-2350 Shattuck Sq, Berkeley, CA",2022-02-06
"$1,900+/mo",1bd,1ba,600sqft,"1945 Berkeley Way #87BB4062F, Berkeley, CA 94704",2022-02-06
"$3,900/mo",3bds,1ba,950sqft,"(undisclosed Address), Berkeley, CA 94709",2022-02-06
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2022-02-06
"$2,300/mo",2bds,1ba,750sqft,"2215 Bonar St #B, Berkeley, CA 94702",2022-02-06
"$3,800/mo",2bds,1ba,"1,108sqft","1419 Milvia St #A, Berkeley, CA 94709",2022-02-06
"$2,602+Studio","$2,897+1 bd","$3,556+2 bds",,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2022-02-06
"$3,600/mo",2bds,1ba,--sqft,"1821 Spruce St, Berkeley, CA 94709",2022-02-06
"$3,875/mo",3bds,2ba,"1,000sqft","3411L Adeline St #4, Berkeley, CA 94703",2022-02-06
"$2,768+Studio","$2,929+1 bd","$4,049+2 bds",,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-02-06
$100/mo,Studio,1ba,--sqft,"2456-2460 Parker St #13120472, Berkeley, CA 94704",2022-02-06
"$2,895/mo",2bds,1ba,700sqft,"2211 Channing Way #13120470, Berkeley, CA 94704",2022-02-06
"$2,677+Studio","$4,230+2 bds",,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2022-02-06
"$3,859+1 bd","$4,384+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2022-02-06
"$2,150/mo",1bd,1ba,675sqft,"2410 Stuart St APT C, Berkeley, CA 94705",2022-02-06
"$3,475+2 bds",,,,"2013 Second Street | 2013 2nd St, Berkeley, CA",2022-02-06
"$2,855+Studio","$3,465+1 bd","$3,600+2 bds",,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-02-06
"$3,233+1 bd","$5,031+2 bds",,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2022-02-06
"$3,559+2 bds","$4,920+3 bds",,,"1122U | 1122 University Ave, Berkeley, CA",2022-02-06
"$8,850+3 bds","$6,300+4 bds","$8,850+6 bds",,"The Laureate - 505 | 2556 Telegraph Ave, Berkeley, CA",2022-02-06
"$2,975+Studio","$3,715+1 bd",,,"The Addison | 1950 Addison St, Berkeley, CA",2022-02-06
"$3,200/mo",2bds,2ba,805sqft,"2747 San Pablo Ave #405, Berkeley, CA 94702",2022-02-06
"$3,100/mo",1bd,2ba,950sqft,"2747 San Pablo Ave #217, Berkeley, CA 94702",2022-02-06
"$2,600/mo",2bds,1ba,604sqft,"1445 Carleton St, Berkeley, CA 94702",2022-02-06
"$3,459+2 bds",,,,"Hillside Village | 1801 Shattuck Ave, Berkeley, CA",2022-02-06
"$2,775+1 bd","$3,600+2 bds",,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2022-02-06
"$2,919+Studio","$3,395+1 bd","$4,373+2 bds",,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2022-02-06
"$3,063+Studio","$3,333+1 bd","$4,638+2 bds",,"Blake at Berkley | 2033 Blake St, Berkeley, CA",2022-02-06
"$6,100/mo",4bds,2ba,"1,600sqft","1530 Arch St #3, Berkeley, CA 94708",2022-02-06
"$2,150/mo",1bd,1ba,550sqft,"2321 Russell St #2F, Berkeley, CA 94705",2022-02-06
"$1,695/mo",Studio,1ba,400sqft,"1907 Center St APT 7, Berkeley, CA 94704",2022-02-06
"$3,195/mo",2bds,1ba,580sqft,"2126 Bancroft Way #12717927, Berkeley, CA 94704",2022-02-06
"$2,700/mo",1bd,1ba,553sqft,"2124 Bancroft Way #13112337, Berkeley, CA 94704",2022-02-06
"$2,350/mo",1bd,1ba,600sqft,"3208 Ellis St #B, Berkeley, CA 94703",2022-02-06
"$3,895/mo",3bds,1ba,--sqft,"2023 Channing Way #6, Berkeley, CA 94704",2022-02-06
"$1,787/mo",1bd,1ba,612sqft,"1901 Dwight Way #205, Berkeley, CA 94704",2022-02-06
"$2,162/mo",1bd,1ba,730sqft,"1221 Oregon St APT A, Berkeley, CA 94702",2022-02-06
"$2,100/mo",Studio,1ba,"1,849sqft","1128 Sutter St, Berkeley, CA 94707",2022-02-06
"$2,200/mo",1bd,1ba,720sqft,"2147 Russell St, Berkeley, CA 94705",2022-02-06
"$4,250/mo",1bd,1ba,739sqft,"2530 Shattuck Ave FLOOR 3-ID719, Berkeley, CA 94704",2022-02-06
