price,type,bathrooms,size,address,date
"$3,950/mo",2bds,1ba,"1,150sqft","1626 Walnut St, Berkeley, CA 94709",2022-02-11
"$3,559+2 bds","$4,920+3 bds","$7,135+5 bds",,"1122U | 1122 University Ave, Berkeley, CA",2022-02-11
"$2,450/mo",1bd,1ba,650sqft,"1840 Dwight Way, Berkeley, CA 94703",2022-02-11
"$3,222+1 bd","$5,031+2 bds",,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2022-02-11
"$3,500/mo",2bds,1ba,950sqft,"2538 Hillegass Ave APT C, Berkeley, CA 94704",2022-02-11
"$2,195+1 bd","$2,695+2 bds",,,"Hopkins Park | 1260 Hopkins St, Berkeley, CA",2022-02-11
"$2,995+2 bds","$4,195+3 bds",,,"3109-3111 Telegraph Ave | 3109-3111 Telegraph Ave, Berkeley, CA",2022-02-11
$100+Studio,"$2,995+2 bds",,,"2610 Regent St. | 2610 Regent St, Berkeley, CA",2022-02-11
"$2,295+/mo",1bd,1ba,--sqft,"2412 Ellsworth St #13144225, Berkeley, CA 94704",2022-02-11
"$3,753+1 bd","$4,363+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2022-02-11
"$1,696/mo",Studio,1ba,425sqft,"1925 10th St APT 7, Berkeley, CA 94710",2022-02-11
"$3,084+Studio","$3,294+1 bd","$4,389+2 bds","$6,214+3 bds","Sterling Berkeley Collection | 1916 Oxford St, Berkeley, CA",2022-02-11
"$2,602+Studio","$2,882+1 bd","$3,556+2 bds",,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2022-02-11
"$2,768+Studio","$2,929+1 bd","$4,049+2 bds",,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-02-11
"$2,975+Studio","$3,715+1 bd",,,"The Addison | 1950 Addison St, Berkeley, CA",2022-02-11
"$1,950/mo",Studio,1ba,350sqft,"2909 Pine Ave #2911, Berkeley, CA 94705",2022-02-11
"$3,200/mo",2bds,1ba,"1,100sqft","1408 Harmon St, Berkeley, CA 94702",2022-02-11
"$2,495/mo",1bd,1ba,--sqft,"1511 Milvia St #1515-1/2, Berkeley, CA 94709",2022-02-11
"$2,200/mo",2bds,1ba,600sqft,"2322 Bonar St #B, Berkeley, CA 94702",2022-02-11
"$3,063+Studio","$3,333+1 bd","$4,638+2 bds",,"Blake at Berkley | 2033 Blake St, Berkeley, CA",2022-02-11
"$2,100/mo",1bd,1ba,550sqft,"2835 California St APT 3, Berkeley, CA 94703",2022-02-11
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2022-02-11
"$4,230+2 bds",,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2022-02-11
"$2,595/mo",2bds,1ba,--sqft,"1615 Parker St APT 2, Berkeley, CA 94703",2022-02-11
"$1,787+1 bd","$3,295+2 bds",,,"1901 Dwight Way | 1901 Dwight Way, Berkeley, CA",2022-02-11
"$3,459+2 bds",,,,"Hillside Village | 1801 Shattuck Ave, Berkeley, CA",2022-02-11
"$2,795+1 bd","$3,705+2 bds",,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2022-02-11
"$2,895+2 bds",,,,"Isle of Dwight - 11 | 2750 Dwight Way, Berkeley, CA",2022-02-11
"$2,950+/mo",2bds,1ba,590sqft,"2398 Parker St APT 13, Berkeley, CA 94704",2022-02-11
"$2,950+/mo",2bds,1ba,590sqft,"2398 Parker St APT 8, Berkeley, CA 94704",2022-02-11
"$2,850+/mo",2bds,1ba,606sqft,"2501 Benvenue Ave APT 20, Berkeley, CA 94704",2022-02-11
"$1,750/mo",1bd,1ba,--sqft,"1627 Fairview St #A, Berkeley, CA 94703",2022-02-11
"$1,895/mo",1bd,1ba,--sqft,"2113 10th St #5, Berkeley, CA 94710",2022-02-11
"$6,800/mo",4bds,2ba,"1,600sqft","2343 Dwight Way #3, Berkeley, CA 94704",2022-02-11
"$2,800/mo",1bd,1ba,600sqft,"1258 Virginia St, Berkeley, CA 94702",2022-02-11
"$1,595/mo",Studio,1ba,--sqft,"1896 9th St #1896, Berkeley, CA 94710",2022-02-11
"$2,939+Studio","$3,728+1 bd","$4,181+2 bds",,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2022-02-11
"$2,811+Studio","$3,475+2 bds",,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-02-11
"$2,500/mo",1bd,1ba,500sqft,"(undisclosed Address), Berkeley, CA 94702",2022-02-11
$594/mo,Studio,--ba,132sqft,"919 The Alameda UNIT 9, Berkeley, CA 94707",2022-02-11
