price,type,bathrooms,size,address,date
"$2,857+1 bd","$4,3012 bds",,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2021-11-16
"$2,990/mo",1bd,1ba,754sqft,"2603 Virginia St, Berkeley, CA 94709",2021-11-16
"$2,980+Studio","$3,320+1 bd","$4,525+2 bds",,"Blake at Berkeley | 2033 Blake St, Berkeley, CA",2021-11-16
"$1,895/mo",Studio,1ba,400sqft,"1862 Arch St APT 1, Berkeley, CA 94709",2021-11-16
"$3,905+1 bd",,,,"The Addison | 1950 Addison St, Berkeley, CA",2021-11-16
"$3,311+Studio","$3,647+1 bd","$3,975+2 bds",,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2021-11-16
"$2,758+Studio","$3,3361 bd","$4,3832 bds",,"The Dwight | 2121 Dwight Way, Berkeley, CA",2021-11-16
"$2,500/mo",2bds,1ba,600sqft,"1524 University Ave, Berkeley, CA 94703",2021-11-16
"$3,850/mo",2bds,1ba,"1,000sqft","3048-3048 Wheeler St, Berkeley, CA 94705",2021-11-16
"$1,995+1 bd",,,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-11-16
"$2,142+Studio","$2,596+1 bd",,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2021-11-16
"$1,900+/mo",1bd,1ba,600sqft,"1945 Berkeley Way #A1RZNF1K7, Berkeley, CA 94704",2021-11-16
"$3,5592 bds","$4,9203 bds",,,"1122U | 1122 University Ave, Berkeley, CA",2021-11-16
"$2,550/mo",2bds,1ba,--sqft,"1430 Josephine St #R2, Berkeley, CA 94703",2021-11-16
"$3,839+1 bd","$5,308+2 bds",,,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2021-11-16
"$2,692+1 bd",,,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2021-11-16
"$2,400+1 bd","$2,800+2 bds",,,"The Delaware | 1080 Delaware St, Berkeley, CA",2021-11-16
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-11-16
"$3,6622 bds","$5,6653 bds",,,"Hillside Village | 1801 Shattuck Ave, Berkeley, CA",2021-11-16
"$4,421+2 bds",,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2021-11-16
"$3,651+1 bd","$5,976+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2021-11-16
"$1,950/mo",1bd,1ba,525sqft,"2108 Stuart St APT 4, Berkeley, CA 94705",2021-11-16
"$1,895/mo",1bd,1ba,450sqft,"2224 Grant St #A, Berkeley, CA 94703",2021-11-16
"$4,850/mo",4bds,3ba,"1,200sqft","3411 N Adeline St #3, Berkeley, CA 94703",2021-11-16
"$3,875/mo",3bds,2ba,"1,000sqft","3411M Adeline St #4, Berkeley, CA 94703",2021-11-16
"$1,550Studio","$1,8951 bd",,,"1709 University Ave, Berkeley, CA",2021-11-16
"$5,495/mo",3bds,1ba,--sqft,"2252 Parker St #301, Berkeley, CA 94704",2021-11-16
"$2,800/mo",1bd,1ba,650sqft,"1900 Harmon St #A, Berkeley, CA 94703",2021-11-16
"$3,350/mo",2bds,1ba,"1,000sqft","2029 Channing Way APT 4C, Berkeley, CA 94704",2021-11-16
"$2,295/mo",1bd,1ba,650sqft,"928-934 Bancroft Way, Berkeley, CA 94710",2021-11-16
"$1,900/mo",Studio,1ba,720sqft,"2104 McGee Ave, Berkeley, CA 94703",2021-11-16
"$1,175/mo",Studio,1ba,"3,952sqft","1741 Martin Luther King Jr Way, Berkeley, CA 94709",2021-11-16
"$2,150+1 bd",,,,"2727 Parker St, Berkeley, CA",2021-11-16
"$1,850/mo",1bd,1ba,--sqft,"1896 Alcatraz Ave #1, Berkeley, CA 94703",2021-11-16
"$1,795/mo",Studio,1ba,292sqft,"2550 Telegraph Ave APT 222, Berkeley, CA 94704",2021-11-16
"$1,595/mo",Studio,1ba,272sqft,"2438 Woolsey St, Berkeley, CA 94705",2021-11-16
"$2,400/mo",2bds,1ba,700sqft,"913 Dwight Way, Berkeley, CA 94710",2021-11-16
"$3,200/mo",2bds,1ba,700sqft,"2640 Dwight Way #102, Berkeley, CA 94704",2021-11-16
"$1,795/mo",1bd,1ba,--sqft,"1708 Dwight Way #6, Berkeley, CA 94703",2021-11-16
"$1,950/mo",1bd,1ba,620sqft,"(undisclosed Address), Berkeley, CA 94705",2021-11-16
