price,type,bathrooms,size,address,date
"$2,103/mo",Studio,1ba,600sqft,"2339 Hilgard Ave APT 105, Berkeley, CA 94709",2022-03-18
"$2,575/mo",1bd,1ba,652sqft,"1569 Spruce St #8, Berkeley, CA 94709",2022-03-18
"$2,895/mo",2bds,1ba,880sqft,"2323 Parker St APT 4, Berkeley, CA 94704",2022-03-18
"$2,195/mo",2bds,1ba,--sqft,"1508 Parker St UNIT D, Berkeley, CA 94703",2022-03-18
"$1,750/mo",Studio,1ba,--sqft,"2609 Sacramento St #2609, Berkeley, CA 94702",2022-03-18
"$3,890/mo",2bds,2ba,"1,000sqft","2513 Ellsworth St, Berkeley, CA 94704",2022-03-18
"$2,836+Studio","$3,152+1 bd","$4,080+2 bds",,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-03-18
"$4,400+2 bds",,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2022-03-18
"$6,850/mo",4bds,2ba,"1,215sqft","4 bed, 1215 sqft, $6,850, 2730 Ellsworth St, Berkeley, CA 94705",2022-03-18
"$2,100/mo",1bd,1ba,--sqft,"1 bed, $2,100, 1801 Rose St APT 4, Berkeley, CA 94703",2022-03-18
"$1,975+Studio","$3,100+2 bds",,,"2555 Virginia Street | 2555 Virginia St, Berkeley, CA",2022-03-18
"$1,875/mo",Studio,1ba,588sqft,"2-1104 Chaucer St #2, Berkeley, CA 94702",2022-03-18
"$1,995+Studio","$3,295+2 bds",,,"2241 Durant Ave. | 2241 Durant Ave, Berkeley, CA",2022-03-18
"$2,989+Studio","$2,679+1 bd","$3,914+2 bds","$5,514+3 bds","Sterling Berkeley Collection | 1916 Oxford St, Berkeley, CA",2022-03-18
"$2,536+Studio","$2,808+1 bd","$3,742+2 bds",,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2022-03-18
"$1,550+Studio","$2,895+2 bds",,,"2717 Channing Way, Berkeley, CA",2022-03-18
"$3,228+1 bd",,,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2022-03-18
"$2,811+Studio","$3,667+1 bd","$3,675+2 bds",,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-03-18
"$2,744/mo",2bds,1ba,700sqft,"2030-2032 Bancroft Way, 2030-2032 Bancroft Way #12316383, Berkeley, CA 94704",2022-03-18
"$2,195+1 bd","$3,195+2 bds",,,"2030 Dwight Way | 2030 Dwight Way, Berkeley, CA",2022-03-18
"$3,595+2 bds","$5,195+3 bds",,,"Telegraph Bays | 2616 Telegraph Ave, Berkeley, CA",2022-03-18
"$1,995+Studio","$2,295+1 bd","$2,995+2 bds","$4,195+3 bds","Shattuck Apartments | 2300-2350 Shattuck Sq, Berkeley, CA",2022-03-18
"$2,295+1 bd","$3,295+3 bds",,,"2732 Benvenue Ave. | 2732 Benvenue Ave, Berkeley, CA",2022-03-18
"$1,800+Studio","$2,095+1 bd","$3,520+2 bds","$4,000+3 bds","Parker House | 2511-2515 Parker St, Berkeley, CA",2022-03-18
"$3,495+2 bds","$4,995+3 bds",,,"2215 Channing Way | 2215 Channing Way, Berkeley, CA",2022-03-18
"$2,300+1 bd","$2,300+2 bds",,,"2456-2460 Parker St. | 2456-2460 Parker St, Berkeley, CA",2022-03-18
"$3,195+2 bds","$4,595+3 bds",,,"2610 Regent St. | 2610 Regent St, Berkeley, CA",2022-03-18
"$2,895+Studio","$3,095+1 bd","$4,795+2 bds","$6,495+3 bds","URSA Berkeley | 2124 Bancroft Way, Berkeley, CA",2022-03-18
"$1,995/mo",Studio,1ba,275sqft,"2428 Milvia St., 2428 Milvia St #13285538, Berkeley, CA 94704",2022-03-18
"$4,500+3 bds",,,,"2546 Warring St. | 2546 Warring St, Berkeley, CA",2022-03-18
"$1,995+Studio","$2,295+1 bd","$5,494+3 bds","$6,595+4 bds","2549-2555 Benvenue Ave. | 2549-2555 Benvenue Ave, Berkeley, CA",2022-03-18
"$3,195+2 bds",,,,"2028 Dwight Way | 2028 Dwight Way, Berkeley, CA",2022-03-18
"$2,975+Studio","$3,715+1 bd",,,"The Addison | 1950 Addison St, Berkeley, CA",2022-03-18
"$2,596+Studio","$3,559+2 bds","$4,776+3 bds",,"1122U | 1122 University Ave, Berkeley, CA",2022-03-18
"$3,459+2 bds",,,,"Hillside Village | 1801 Shattuck Ave, Berkeley, CA",2022-03-18
"$6,850/mo",4bds,2ba,"1,215sqft","4 bed, 1215 sqft, $6,850, 2240 Ward St #2730, Berkeley, CA 94705",2022-03-18
"$1,795/mo",Studio,1ba,--sqft,"2338 Channing Way APT 3, Berkeley, CA 94704",2022-03-18
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2022-03-18
"$2,650+1 bd",,,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2022-03-18
"$3,593+1 bd","$3,589+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2022-03-18
