price,type,bathrooms,size,address,date
"$2,095+1 bd","$2,100+2 bds","$6,595+4 bds",,"2009-2011 Haste St. | 2009-2011 Haste St, Berkeley, CA",2022-04-08
"$3,138+Studio","$3,134+1 bd",,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2022-04-08
"$1,575/mo",1bd,1ba,--sqft,"1806 62nd St #1, Berkeley, CA 94703",2022-04-08
"$3,595+2 bds","$5,495+3 bds",,,"Telegraph Bays | 2616 Telegraph Ave, Berkeley, CA",2022-04-08
"$2,495+Studio","$2,695+1 bd",,,"1799 Euclid Ave. | 1799 Euclid Ave, Berkeley, CA",2022-04-08
"$5,695+3 bds",,,,"Vero Hills Apartments | 2811-2815 Channing Way, Berkeley, CA",2022-04-08
"$5,995+5 bds",,,,"2817-2819 Hillegass Ave. | 2817-2819 Hillegass Ave, Berkeley, CA",2022-04-08
"$2,995+2 bds","$3,995+3 bds",,,"3109-3111 Telegraph Ave. | 3109-3111 Telegraph Ave, Berkeley, CA",2022-04-08
"$2,995+2 bds",,,,"2028 Dwight Way | 2028 Dwight Way, Berkeley, CA",2022-04-08
"$2,395+1 bd","$3,495+2 bds","$4,195+3 bds",,"2540 Regent St. | 2540 Regent St, Berkeley, CA",2022-04-08
"$3,195+2 bds","$4,195+3 bds",,,"2610 Regent St. | 2610 Regent St, Berkeley, CA",2022-04-08
"$2,495+1 bd","$6,595+4 bds",,,"2015 Haste St. | 2015 Haste St, Berkeley, CA",2022-04-08
"$4,995+3 bds","$6,595+4 bds",,,"2215 Channing Way | 2215 Channing Way, Berkeley, CA",2022-04-08
"$3,195+2 bds",,,,"2025 Francisco St. | 2025 Francisco St, Berkeley, CA",2022-04-08
"$2,195+1 bd","$2,995+2 bds",,,"2030 Dwight Way | 2030 Dwight Way, Berkeley, CA",2022-04-08
"$5,195+3 bds",,,,"2546 Warring St. | 2546 Warring St, Berkeley, CA",2022-04-08
"$3,995+3 bds",,,,"2211 Channing Way | 2211 Channing Way, Berkeley, CA",2022-04-08
"$1,595+Studio","$2,195+1 bd","$3,795+4 bds",,"1432-1434 Arch St. | 1432 Arch St, Berkeley, CA",2022-04-08
"$3,195+2 bds",,,,"2126 Bancroft Way | 2126 Bancroft Way, Berkeley, CA",2022-04-08
"$1,000+Studio","$2,150+1 bd",,,"2639 College Ave. | 2639 College Ave, Berkeley, CA",2022-04-08
"$4,385+1 bd","$6,316+2 bds",,,"2510 Channing Way | 2510 Channing Way, Berkeley, CA",2022-04-08
"$2,495/mo",Studio,1ba,620sqft,"(undisclosed Address), Berkeley, CA 94704",2022-04-08
"$2,989+Studio","$2,679+1 bd","$4,079+2 bds","$6,214+3 bds","Sterling Berkeley Collection | 2116 Allston Way, Berkeley, CA",2022-04-08
"$5,500/mo",5bds,1.5ba,"1,600sqft","2450 Parker St, Berkeley, CA 94704",2022-04-08
"$3,110+Studio","$3,607+1 bd",,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-04-08
"$2,739+Studio","$4,410+2 bds",,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2022-04-08
"$2,836+Studio","$3,152+1 bd","$3,793+2 bds",,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-04-08
"$2,600/mo",1bd,1ba,725sqft,"936 Bancroft Way, Berkeley, CA 94710",2022-04-08
"$1,895+Studio","$2,295+1 bd","$3,195+2 bds","$4,195+3 bds","Shattuck Apartments | 2300-2350 Shattuck Sq, Berkeley, CA",2022-04-08
"$1,525/mo",1bd,1ba,--sqft,"2709 Channing Way #4, Berkeley, CA 94704",2022-04-08
"$2,100/mo",1bd,1ba,700sqft,"1525 Derby St APT A, Berkeley, CA 94703",2022-04-08
"$2,195+1 bd","$2,695+2 bds",,,"Hopkins Park | 1260 Hopkins St, Berkeley, CA",2022-04-08
"$2,596+Studio","$3,559+2 bds","$4,776+3 bds","$7,135+5 bds","1122U | 1122 University Ave, Berkeley, CA",2022-04-08
"$2,521+Studio","$2,868+1 bd","$3,615+2 bds",,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2022-04-08
"$2,895+2 bds",,,,"Le Conte Apartments | 2575 Le Conte Ave, Berkeley, CA",2022-04-08
"$3,195/mo",2bds,1ba,--sqft,"2 bed, 1.0 bath, $3,195, 2620 Hillegass Ave #9, Berkeley, CA 94704",2022-04-08
"$3,395/mo",2bds,1ba,--sqft,"Parker CAL Apartments, 2414 Parker St APT 9, Berkeley, CA 94704",2022-04-08
"$2,195+Studio","$2,395+1 bd","$3,195+2 bds",,"Durant CAL Apartments | 2539 Durant Ave, Berkeley, CA",2022-04-08
"$2,595+2 bds",,,,"Adeline Courtyard Apartments | 3380 Adeline St, Berkeley, CA",2022-04-08
"$2,000+1 bd",,,,"2521 Piedmont Avenue | 2521 Piedmont Ave, Berkeley, CA",2022-04-08
