price,type,bathrooms,size,address,date
"$1,950/mo",1bd,1ba,550sqft,"(undisclosed Address), Berkeley, CA 94704",2021-08-12
"$3,635/mo",2bds,2ba,667sqft,"1801 Shattuck Ave #1-203, Berkeley, CA 94709",2021-08-12
"$3,000/mo",2bds,2ba,"1,000sqft","2500 Martin Luther King Jr Way APT 204, Berkeley, CA 94704",2021-08-12
"$2,995/mo",1bd,1ba,750sqft,"1850 Arch St APT 7, Berkeley, CA 94709",2021-08-12
"$1,795+1 bd",,,,"2521 Piedmont Avenue | 2521 Piedmont Ave, Berkeley, CA",2021-08-12
"$2,100+1 bd",,,,"2247 Derby Street | 2247 Derby St, Berkeley, CA",2021-08-12
"$4,595/mo",2bds,1ba,600sqft,"2510 Bancroft Way #209, Berkeley, CA 94704",2021-08-12
"$2,200+1 bd","$3,2002 bds",,,"3030 Regent St, Berkeley, CA",2021-08-12
"$1,356+Studio","$2,0131 bd","$3,100+2 bds",,"Allston + Stadium Student Housing | 2310 Fulton St, Berkeley, CA",2021-08-12
"$2,595/mo",1bd,1ba,"1,038sqft","1440 Walnut St APT A, Berkeley, CA 94709",2021-08-12
"$3,9951 bd","$6,9822 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2021-08-12
"$4,448/mo",2bds,1ba,827sqft,"2121 Dwight Way UNIT 205, Berkeley, CA 94704",2021-08-12
"$3,350+3 bds",,,,"1321 Alcatraz Avenue | 1321 Alcatraz Ave, Berkeley, CA",2021-08-12
"$2,600/mo",2bds,1ba,750sqft,"1727 Oregon St APT D, Berkeley, CA 94703",2021-08-12
"$4,495+/mo",2bds,1ba,--sqft,"2520 College Ave #19GHGA13X, Berkeley, CA 94704",2021-08-12
"$4,095/mo",2bds,1ba,763sqft,"1771 Highland Pl APT 303, Berkeley, CA 94709",2021-08-12
"$1,950+/mo",1bd,1ba,600sqft,"1945 Berkeley Way #A1RZNF1K7, Berkeley, CA 94704",2021-08-12
"$1,995+1 bd",,,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-08-12
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-08-12
"$2,295/mo",Studio,1ba,338sqft,"2500 Durant Ave #309, Berkeley, CA 94704",2021-08-12
"$2,400+1 bd","$2,800+2 bds",,,"The Delaware | 1080 Delaware St, Berkeley, CA",2021-08-12
"$3,611+Studio","$3,947+1 bd","$4,275+2 bds","$6,744+3 bds","Modera Berkeley | 2119 University Ave, Berkeley, CA",2021-08-12
"$4,782/mo",2bds,2ba,"1,009sqft","1080 Jones St #514, Berkeley, CA 94710",2021-08-12
"$2,700+1 bd","$3,600+2 bds",,,"New Californian | 1988 Martin Luther King Jr Way, Berkeley, CA",2021-08-12
"$3,395+/mo",2bds,2ba,700sqft,"1300 Delaware St #VFB1RCGBJ, Berkeley, CA 94702",2021-08-12
"$2,350/mo",Studio,1ba,450sqft,"1525 Spruce St APT 2, Berkeley, CA 94709",2021-08-12
"$2,100/mo",1bd,1ba,520sqft,"1321 Dwight Way #H, Berkeley, CA 94702",2021-08-12
"$1,695/mo",Studio,1ba,423sqft,"2374 Sacramento St, Berkeley, CA 94702",2021-08-12
"$2,195+Studio","$2,495+1 bd","$3,495+2 bds",,"Addison Arts Apartments | 1935 Addison St, Berkeley, CA",2021-08-12
"$1,750/mo",Studio,1ba,500sqft,"2000 Durant Ave APT 310, Berkeley, CA 94704",2021-08-12
"$2,600/mo",2bds,1ba,750sqft,"1931 Ashby Ave, Berkeley, CA 94703",2021-08-12
"$2,000/mo",1bd,1ba,680sqft,"2405 Fulton St, Berkeley, CA 94704",2021-08-12
"$2,550/mo",1bd,1ba,620sqft,"2601 College Ave APT 207, Berkeley, CA 94704",2021-08-12
"$1,584Studio","$3,178+1 bd",,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2021-08-12
"$2,800/mo",2bds,1ba,--sqft,"2235 Cedar St, Berkeley, CA 94709",2021-08-12
"$1,950/mo",Studio,1ba,400sqft,"2428 Bancroft Way #4, Berkeley, CA 94704",2021-08-12
"$2,1951 bd","$2,1252 bds",,,"2309 8th St, Berkeley, CA",2021-08-12
"$4,300/mo",3bds,1ba,"1,100sqft","3128 College Ave, Berkeley, CA 94705",2021-08-12
"$4,681+2 bds",,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2021-08-12
"$1,695/mo",1bd,1ba,550sqft,"1518 Julia St APT D, Berkeley, CA 94703",2021-08-12
