price,type,bathrooms,size,address,date
"$3,650+",Studio,,,"Stonefire Berkeley | 2010 Milvia St, Berkeley, CA",2023-03-29
"$5,000+",2 bds,,,"Stonefire Berkeley | 2010 Milvia St, Berkeley, CA",2023-03-29
"$2,620+",Studio,,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2023-03-29
"$2,795+",1 bd,,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2023-03-29
"$3,750+",2 bds,,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2023-03-29
"$2,579+",Studio,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2023-03-29
"$4,895+",2 bds,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2023-03-29
"$2,984+",Studio,,,"Modera Berkeley | 1922 Walnut St, Berkeley, CA",2023-03-29
"$3,243+",1 bd,,,"Modera Berkeley | 1922 Walnut St, Berkeley, CA",2023-03-29
"$4,550+",2 bds,,,"Modera Berkeley | 1922 Walnut St, Berkeley, CA",2023-03-29
"$5,778+",3 bds,,,"Modera Berkeley | 1922 Walnut St, Berkeley, CA",2023-03-29
"$2,950+",Studio,,,"Parker | 2038 Parker St, Berkeley, CA",2023-03-29
"$3,225+",1 bd,,,"Parker | 2038 Parker St, Berkeley, CA",2023-03-29
"$4,550+",2 bds,,,"Parker | 2038 Parker St, Berkeley, CA",2023-03-29
"$3,176+",Studio,,,"The Addison | 1950 Addison St, Berkeley, CA",2023-03-29
"$3,282+",1 bd,,,"The Addison | 1950 Addison St, Berkeley, CA",2023-03-29
"$4,894+",2 bds,,,"The Addison | 1950 Addison St, Berkeley, CA",2023-03-29
"$3,272+",1 bd,,,"Berkeley Central | 2055 Center St, Berkeley, CA",2023-03-29
"$3,918+",2 bds,,,"Berkeley Central | 2055 Center St, Berkeley, CA",2023-03-29
"$2,450+",Studio,,,"Addison Arts Apartments | 1935 Addison St, Berkeley, CA",2023-03-29
"$3,295+",1 bd,,,"Addison Arts Apartments | 1935 Addison St, Berkeley, CA",2023-03-29
"$4,195+",2 bds,,,"Addison Arts Apartments | 1935 Addison St, Berkeley, CA",2023-03-29
"$3,395+",1 bd,,,"URSA Berkeley | 2124 Bancroft Way, Berkeley, CA",2023-03-29
"$6,195+",3 bds,,,"URSA Berkeley | 2124 Bancroft Way, Berkeley, CA",2023-03-29
