Apartment Options,Cost
Furnished single-occupancy room in a 4- bedroom 2-bathroom apartment,"$1,585"
Furnished single-occupancy room in a two-bedroom one-bathroom apartment,"$1,712"
Furnished single-occupancy studio apartment,"$2,121"
Furnished single-occupancy one-bedroom one-bathroom apartment,"$2,322"
