Apartment Options,Cost
SINGLE in 2 Bed/1 Bath (shared APT of 2 persons),"$20,075"
SINGLE in 2 Bed/1 Bath (shared APT of 3 persons),"$18,080"
DOUBLE in 1 Bed/1 Bath (shared APT of 2 persons),"$18,745"
DOUBLE in 2 Bed/1 Bath (shared APT of 3 persons),"$15,415"
DOUBLE in 2 Bed/1 Bath (shared APT of 4 persons),"$14,075"
,
