Apartment Options,Cost
SINGLE IN 1 Bed/1 Bath,"$20,020"
SINGLE in 2 Bed/1 Bath (shared APT of 2 persons),"$18,210"
SINGLE in 2 Bed/1 Bath (shared APT of 3 persons),"$16,400"
DOUBLE in 1 Bed/1 Bath (shared APT of 2 persons),"$17,000"
DOUBLE in 2 Bed/1 Bath (shared APT of 3 persons),"$13,980"
DOUBLE in 2 Bed/1 Bath (shared APT of 4 persons),"$12,765"
