Apartment Options,Cost
TOWNHOUSE SINGLE bedroom,"$15,670"
SINGLE bedroom,"$15,375"
TOWNHOUSE DOUBLE bedroom,"$14,270"
DOUBLE bedroom*,"$14,070"
