Apartment Options,Cost
Standard single-occupancy studio apartment – furnished,"$1,560-$1,715"
"Single-occupancy junior one-bedroom, one-bath apartment – furnished","$1,785"
"Standard one-bedroom, one-bath apartment – furnished","$2,105-$2,300"
"Single-occupancy room in a two-bedroom, one-bath apartment – furnished","$1,745"
"Single-occupancy room in a two-bedroom, two-bath apartment – furnished","$1,765-$1,950"
"Single-occupancy room in a four-bedroom, three-bath apartment – furnished","$1,645-$1,820"
