Apartment Options,Cost
SINGLE in 4 Bed/1 Bath (shared APT of 4 persons),"$15,820"
SINGLE in 4 Bed/1.5 Bath (shared APT of 4 persons),"$15,925"
SINGLE in 5 Bed/1.5 Bath (shared APT of 5 persons),"$15,820"
