Apartment Options,Cost
TOWNHOUSE SINGLE bedroom,"$14,925"
SINGLE bedroom,"$14,645"
TOWNHOUSE DOUBLE bedroom,"$13,590"
DOUBLE bedroom*,"$13,400"
