Apartment Options,Cost
SINGLE in 4 Bed/1 Bath (shared APT of 4 persons),"$18,575"
SINGLE in 4 Bed/1.5 Bath (shared APT of 4 persons),"$18,695"
SINGLE in 5 Bed/1.5 Bath (shared APT of 5 persons),"$18,575"
SINGLE in 3 Bed/1 Bath (shared APT of 3 or 4 persons),"$18,845"
DOUBLE in 3 Bed/1 Bath (shared APT of 4 persons),"$17,505"
DOUBLE in 1 Bed/1 Bath (shared APT of 2 persons),"$18,835"
