Apartment Options,Cost
SINGLE in 2 Bed/1 Bath (shared APT of 2 persons),"$20,980"
SINGLE in 2 Bed/1 Bath (shared APT of 3 persons),"$18,895"
DOUBLE in 1 Bed/1 Bath (shared APT of 2 persons),"$19,590"
DOUBLE in 2 Bed/1 Bath (shared APT of 3 persons),"$16,110"
DOUBLE in 2 Bed/1 Bath (shared APT of 4 persons),"$14,710"
,
