Apartment Options,Cost
SINGLE in 4 Bed/1 Bath (shared APT of 4 persons),"$17,775"
SINGLE in 4 Bed/1.5 Bath (shared APT of 4 persons),"$17,890"
SINGLE in 5 Bed/1.5 Bath (shared APT of 5 persons),"$17,775"
SINGLE in 3 Bed/1 Bath (shared APT of 3 or 4 persons),"$18,035"
DOUBLE in 3 Bed/1 Bath (shared APT of 4 persons),"$16,750"
DOUBLE in 1 Bed/1 Bath (shared APT of 2 persons),"$18,025"
