Unnamed: 0,Apartment Options,Cost
Intersection Apartments,Standard single-occupancy studio apartment – furnished,"$1,425-$1,560"
Intersection Apartments,"Single-occupancy junior one-bedroom, one-bath apartment – furnished","$1,630"
Intersection Apartments,"Standard one-bedroom, one-bath apartment – furnished","$1,920-$2,095"
Intersection Apartments,"Single-occupancy room in a two-bedroom, one-bath apartment – furnished","$1,590"
Intersection Apartments,"Single-occupancy room in a two-bedroom, two-bath apartment – furnished","$1,610-$1,775"
Intersection Apartments,"Single-occupancy room in a four-bedroom, three-bath apartment – furnished","$1,500-$1,655"
Jackson House Apartments,Furnished single-occupancy room in a shared 2-bedroom apartment,"$1,560"
Jackson House Apartments,Furnished single-occupancy room in a shared 3-bedroom apartment,"$1,495"
Jackson House Apartments,Furnished single-occupancy room in a shared 4-bedroom apartment,"$1,475"
Jackson House Apartments,Furnished single-occupancy room in a shared 5-bedroom apartment,"$1,400"
Jackson House Apartments,Furnished single-occupancy room in a shared 6-bedroom apartment,"$1,335"
Manville Apartments,Standard single-occupancy studio apartment – unfurnished,"$1,455"
Manville Apartments,Standard single-occupancy studio apartment – furnished,"$1,515"
Manville Apartments,Deck/Court single-occupancy studio apartment – unfurnished,"$1,495"
Manville Apartments,Deck/Court single-occupancy studio apartment – furnished,"$1,565"
Manville Apartments,Bayview single-occupancy studio apartment – unfurnished,"$1,495"
Manville Apartments,Bayview single-occupancy studio apartment – furnished,"$1,565"
Panoramic Berkeley,Furnished single-occupancy room in a shared 3 Bedroom apartment,"$1,685"
Panoramic Berkeley,"Furnished single-occupancy room in a shared 4 Bedroom, 1.5 Bath apartment","$1,670"
