Apartment Options,Cost
Standard single-occupancy studio apartment – unfurnished,"$1,600"
Standard single-occupancy studio apartment – furnished,"$1,660"
Deck/Court single-occupancy studio apartment – unfurnished,"$1,640"
Deck/Court single-occupancy studio apartment – furnished,"$1,720"
Bayview single-occupancy studio apartment – unfurnished,"$1,640"
Bayview single-occupancy studio apartment – furnished,"$1,720"
