Apartment Options,Cost
SINGLE IN 1 Bed/1 Bath,"$21,020"
SINGLE in 2 Bed/1 Bath (shared APT of 2 persons),"$19,120"
SINGLE in 2 Bed/1 Bath (shared APT of 3 persons),"$17,220"
DOUBLE in 1 Bed/1 Bath (shared APT of 2 persons),"$17,850"
DOUBLE in 2 Bed/1 Bath (shared APT of 3 persons),"$14,680"
DOUBLE in 2 Bed/1 Bath (shared APT of 4 persons),"$13,405"
