Apartment Options,Cost
Furnished single-occupancy room in a shared 6-bedroom apartment,"$1,465"
Furnished single-occupancy room in a shared 5-bedroom apartment,"$1,535"
Furnished single-occupancy room in a shared 4-bedroom apartment,"$1,620"
Furnished single-occupancy room in a shared 3-bedroom apartment,"$1,640"
Furnished single-occupancy room in a shared 2-bedroom apartment,"$1,715"
